artist_id,artist_name,genres,followers,popularity
0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",753124,65
4qFQgEF1rg6a9WvJM0MQIa,James Levine,"['classical performance', 'opera']",9206,53
6uRJnvQ3f8whVnmeoecv5Z,Berliner Philharmoniker,"['classical', 'classical performance', 'german orchestra', 'orchestra']",223580,73
2DG9aIMzcln3w7SIVGGnmg,Arcadi Volodos,"['classical piano', 'russian classical piano']",17186,47
0y60qXGlDixlFJcjUU6pwY,Dennis Day,[],684,7
7u5sCPrTVbLMZMlogVRZc0,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,['javanese gamelan'],2539,27
1gY7W6RY3EHWRWSv9Dhjqa,Frank Parker,[],65,0
08egOYfLsuZvkG0jFN7nUj,Phil Regan,[],33,0
0uqddFnkR5VFHepMk9NEz3,John McCormack,"['irish ballad', 'vaudeville', 'vintage classical singing']",6087,25
5LiOoJbxVSAMkBS2fUm3X2,Ignacio Corsini,['vintage tango'],6979,29
0hKr2636wsQI7PrARkAiaA,Fortugé,[],76,0
3QXjI80udwDSEfxK5BjUXc,Maurice Chevalier,"['cabaret', 'vintage chanson', 'vintage hollywood', 'ye ye']",24095,39
5LiOoJbxVSAMkBS2fUm3X2,Ignacio Corsini,['vintage tango'],6979,29
7mkAgQzXorozXsBeUsfpd0,Georgel,[],135,0
0sI4zKYWrBEDzgI7iW9JFY,Mehmet Kemiksiz,"['ilahiler', 'sufi chant']",4666,25
42eLligaZ0rLaBD6PEv38l,Zay Gatsby,[],10,0
0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",753124,65
6CgRStLhLyPSySFMtcLXe7,Ruth Laredo,['american classical piano'],461,22
08egOYfLsuZvkG0jFN7nUj,Phil Regan,[],33,0
11T8SOX82xraocZzUXzkvM,Hector Berlioz,"['classical', 'early modern classical', 'french romanticism']",120860,43
4xpgBZSojKNEQqQHXrwSXA,Arturo Toscanini,"['historic orchestral performance', 'orchestral performance']",17587,24
7JdPe4gzrYmbcko3FTav57,"Orchestra Del Teatro Alla Scala, Milano","['italian orchestra', 'opera', 'orchestra']",14115,52
3mxG61Hl3AF9CWsoLgnx5Y,THE GUY,[],1,0
2FCrK3ksacW6IFInBvGAQR,Christopher Lynch,[],19,0
0hKr2636wsQI7PrARkAiaA,Fortugé,[],76,0
0uqddFnkR5VFHepMk9NEz3,John McCormack,"['irish ballad', 'vaudeville', 'vintage classical singing']",6087,25
3xWP3NUJHWnsHx9LHKmRy9,Edwin Schneider,[],16,4
2EcWeOdp8SE6ITKtwwEdyb,Hanende İbrahim Efendi,[],9,0
