track_id,track_name,artist_names,genres,valence,danceability,energy,mood,album_name,release_date,album_cover_640x640
001ZmOPuWEW5czwun7nkha,Would You? (End Title),"['Gene Kelly', 'Betty Noyes']","adult standards, movie tunes, vintage hollywood",0.162,0.16,0.12,Sad,Singin' in the Rain (Original Motion Picture Soundtrack) [Deluxe Version],1952-04-11,https://i.scdn.co/image/ab67616d00004851701dfe48ddb212fc32189dcd
003FTlCpBTM4eSqYSWPv4H,"Swing, Swing",['The All-American Rejects'],"modern rock, alternative metal, pop rock, pop punk, neon pop punk, neo mellow, post-grunge",0.318,0.5529999999999999,0.7170000000000001,Sad,The All-American Rejects,2002-10-15,https://i.scdn.co/image/ab67616d0000b273eba2acd1d78fc80ed234af0b
003JzPprzThp8SHUctgXnn,Willow Weep For Me - Remastered 1998,['Thelonious Monk'],"jazz trio, contemporary post-bop, jazz, jazz piano, bebop",0.298,0.461,0.454,Sad,"Genius Of Modern Music (Vol.2, Expanded Edition)",1952,https://i.scdn.co/image/ab67616d00004851a36b4e921833c21b60615830
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,['The Killers'],"permanent wave, modern rock, alternative rock, dance rock, rock",0.236,0.352,0.911,Sad,Hot Fuss,2004,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
0046quUYhSAFccrKIC3Iht,All Cried Out (with Full Force),['Lisa Lisa & Cult Jam'],"freestyle, contemporary r&b, new jack swing, quiet storm",0.328,0.48,0.435,Sad,,,
004TG0nRHejwSKisvwTcAB,The Garden of Gethesemanie,['Emahoy Tsege Mariam Gebru'],"impressionism, ethio-jazz",0.197,0.22,0.0447,Sad,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",2006,https://i.scdn.co/image/ab67616d0000485153d13c60cbf8496025e414e8
004cCP7Csq7U0m67DDzEFs,"Variations and Fugue on a Theme by Handel, Op. 24: Variation V","['Johannes Brahms', 'Eugene Istomin']","late romantic era, classical, american classical piano, german romanticism",0.507,0.419,0.0874,Neutral,Eugene Istomin - The Concerto and Solo Recordings,1946,https://i.scdn.co/image/ab67616d0000485109a25216a12a7846bf25f27b
005Dlt8Xaz3DkaXiRJgdiS,Historia de Taxi,['Ricardo Arjona'],"latin arena pop, latin pop, cantautor",0.698,0.715,0.621,Upbeat,,,
005lwxGU1tms6HGELIcUv9,I Kissed A Girl,['Katy Perry'],pop,0.696,0.6990000000000001,0.76,Upbeat,One Of The Boys,2008-06-17,https://i.scdn.co/image/ab67616d0000b273cd3978ebe35d93a07249b97f
006fbuXS6rRAWlUEaklCmt,Kapitel 297 - Der Page und die Herzogin,"['Georgette Heyer', 'Irina Salkow']",Unknown,0.295,0.7190000000000001,0.19,Sad,Der Page und die Herzogin (Ungekürzt),1926,https://i.scdn.co/image/ab67616d00004851e875d93afc6d65fad3a8c538
